ID;JP;JP_KANA;RU
126;地点;ちてん;место, пункт, точка на местности
127;地名;ちめい;географическое название, название местности
128;茶色い;ちゃいろい;коричневый, цвета чая
129;着々;ちゃくちゃく;неуклонно, шаг за шагом, медленно, но верно
130;中間;ちゅうかん;середина, полпути, промежуточный
131;中旬;ちゅうじゅん;вторая декада месяца
132;抽象;ちゅうしょう;абстракция, абстрактный
133;中世;ちゅうせい;средние века, средневековый
134;中性;ちゅうせい;грам. средний род, нейтральность, бесполость
135;中途;ちゅうと;полпути, прям. и перен. на полдороге
136;中年;ちゅうねん;средний возраст
137;超過;ちょうか;превышение, перелёт (снаряда)
138;彫刻;ちょうこく;резьба, гравирование, скульптура
139;長所;ちょうしょ;сильная сторона, достоинство, преимущество
140;長女;ちょうじょ;старшая дочь
141;調整;ちょうせい;регулировка, координация, настройка, приведение в порядок
142;調節;ちょうせつ;(у)регулирование, муз. или радио настройка, артикуляция
143;長短;ちょうたん;длина, достоинства и недостатки
144;頂点;ちょうてん;высшая точка, вершина, апогей, зенит, кульминационный пункт, расцвет
145;長男;ちょうなん;старший сын
146;長方形;ちょうほうけい;прямоугольник, прямоугольный
147;調味料;ちょうみりょう;приправа, специи
148;;チョーク;мел, мелок
149;直後;ちょくご;сразу после чего-л., непосредственно позади чего-л.
150;直線;ちょくせん;прямая линия
151;直前;ちょくぜん;непосредственно перед чем-л. (до чего-л.)
152;直通;ちょくつう;прямое сообщение (жд и т.п.), прямая связь (телефонная)
153;直流;ちょくりゅう;постоянный ток
154;貯蔵;ちょぞう;(со)хранение, содержание в запасе
155;直角;ちょっかく;прямой угол
156;直径;ちょっけい;диаметр
157;散らかす;ちらかす;разбрасывать где попало, раскидывать, приводить в беспорядок
158;散らかる;ちらかる;быть неубранным (в беспорядке)
159;散らす;ちらす;разбрасывать, рассыпать, разгонять (тучи, толпу), распускать (волосы)
160;塵紙;ちりがみ;грубая туалетная бумага
161;散る;ちる;осыпаться, рассеиваться (об облаках, тумане), распространяться (о слухах)
162;追加;ついか;добавление, дополнение, приложение
163;序で;ついで;случай, возможность, шанс, порядок, последовательность
164;通貨;つうか;валюта, денежные знаки, ходовая монета (данной страны)
165;通勤;つうきん;хождение (поездка) до места службы (работы)
166;通ずる;つうずる;вести, доходить, доходить до сознания, быть понятным, быть проведённым
167;通知;つうち;известие, сообщение, уведомление
168;通帳;つうちょう;банковская расчётная книжка, сберегательная книжка
169;通訳;つうやく;устный перевод, переводчик
170;通用;つうよう;хождение, обращение, общее употребление
171;通路;つうろ;проход, проезд, дорога, переход (через улицу)
172;付合う;つきあう;поддерживать знакомство (отношения) с кем-л
173;突き当たり;つきあたり;столкновение, конец (улицы, прохода и т.п.)
174;突き当たる;つきあたる;натыкаться, наталкиваться, наезжать, доходить до конца (улицы)
175;月日;つきひ;дни и месяцы, время
176;突く;つく;ударять, колоть чем-либо, толкать, ударять во что-л., нападать
177;次ぐ;つぐ;следовать за чем-л., занимать второе место после чего-л.
178;作る・造る;つくる;делать, изготовлять, творить, формировать, писать (книгу), выращивать
179;着ける;つける;прикреплять, присоединить, приделывать, прилагать, подводить, носить
180;浸ける;つける;вымачивать, солить, мариновать
181;伝わる;つたわる;передаваться, переходить, двигаться вдоль, быть занесённым (в Японию)
182;突っ込む;つっこむ;совать, всовывать, вталкивать, вколачивать, погружать (в воду), колоть
183;務める;つとめる;служить, исполнять обязанности, стараться, стремиться
184;努める;つとめる;стараться, прилагать усилия
185;綱;つな;верёвка, канат, трос, мор. брас
186;繋がり;つながり;связь, отношение, родство
187;繋がる;つながる;быть прикреплённым, соединяться, следовать один за другим, иметь отношение
188;繋げる;つなげる;соединять, связывать, перенаправлять звонок
189;粒;つぶ;зёрнышко, капля, счет. суф. для маленьких круглых предметов
190;潰す;つぶす;давить, раздавливать, разрушать, портить, тратить попусту, переплавлять
191;潰れる;つぶれる;быть разрушенным, ломаться, быть раздавленным, потерпеть крах,  изнашиваться
192;躓く;つまずく;спотыкаться, оступаться, совершать ошибку, натыкаться на препятствия
193;詰まる;つまる;быть засорённым,  быть полным (набитым), садиться (о ткани), оказаться в тупике
194;積む;つむ;нагромождать, наваливать, грузить, копить, накапливать
195;艶;つや;глянец, блеск, лоск, очарование, блеск, подмазка, взятка
196;強気;つよき;бирж. повышательная тенденция рынка, сила духа, твёрдость
197;釣り合う;つりあう;удерживать равновесие, быть пропорциональным, подходить, гармонировать
198;吊る;つる;подвешивать, вешать
199;吊す;つるす;подвешивать, вешать
200;出合い;であい;свидание, встреча
201;手洗い;てあらい;туалет
202;定員;ていいん;постоянный штат, полный состав, кворум, вместимость
203;定価;ていか;установленная (твёрдая) цена
204;低下;ていか;падение, снижение, спад
205;定期券;ていきけん;сезонный (месячный, квартальный) билет
206;定休日;ていきゅうび;постоянный (фиксированный) выходной
207;停止;ていし;приостановка, временное запрещение, остановка, застой, мёртвая точка
208;停車;ていしゃ;остановка (транспорта)
209;停電;ていでん;отключение электричества (подачи электроэнергии)
210;出入り;でいり;посещение, постоянный, приход и расход, излишек и недостача, раздор
211;出入口;でいりぐち;вход и выход
212;手入れ;ていれ;ремонт, уход, содержание, налёт полиции
213;;テーマ;тема
214;出来上がり;できあがり;завершение, окончание (работы), качество работы
215;出来上がる;できあがる;быть законченным (готовым), быть сделанным
216;的確・適確;てきかく・てっかく;точный, правильный, соответствующий
217;凸凹;でこぼこ;неровность, неравенство, диспропорция, разрыв
218;手頃;てごろ;удобный, приемлемый, подходящий
219;出鱈目;でたらめ;вздор, чепуха, трёп, взятое с потолка
220;手帳;てちょう;записная книжка, блокнот
221;鉄橋;てっきょう;железнодорожный мост, железный мост
222;手続き;てつづき;процедура, формальности, оформление (напр. пропуска)
223;鉄砲;てっぽう;ружьё
224;;テニスコート;теннисный корт
225;手拭い;てぬぐい;полотенце (для рук)
226;出迎え;でむかえ;встреча (приходящего, приезжающего)
227;出迎える;でむかえる;встречать, выходить навстречу
228;照らす;てらす;освещать что-л., сопоставлять
229;照る;てる;сиять, светить (о солнце, луне)
230;展開;てんかい;развёртывание, разворачивание, развитие
231;伝記;でんき;биография, жизнеописание
232;電球;でんきゅう;электрическая лампочка
233;点数;てんすう;отметка, оценка, баллы, очки
234;伝染;でんせん;зараза, инфекция
235;電池;でんち;электрическая батарея, гальванический элемент
236;点々;てんてん;там и сям, местами, отдельными точками, каплями
237;転々;てんてん;переходить с места на место, менять (хозяина и т.п.)
238;電柱;でんちゅう;телеграфный столб
239;天皇;てんのう;японский император
240;電波;でんぱ;радиоволны, радио
241;;テンポ;временный, темп
242;電流;でんりゅう;электрический ток
243;電力;でんりょく;электроэнергия
244;問い合わせ;といあわせ;запрос, справка
245;銅;どう;медь
246;統一;とういつ;единство, объединение, унификация, консолидация, координация
247;同格;どうかく;тот же разряд (ранг, чин), то же (одинаковое) положение, тот же падеж
248;峠;とうげ;горный перевал, критический момент,  высшая точка
249;統計;とうけい;статистика, статистические данные
250;動作;どうさ;действие, движение, поведение, манеры
251;東西;とうざい;восток и запад
252;当日;とうじつ;тот день, назначенный день, день выдачи (билета)
253;投書;とうしょ;посылка корреспонденции (письма), анонимное письмо
254;登場;とうじょう;появление (на сцене, на экране, на рынке)
255;;どうせ;так или иначе, как-нибудь, в любом случае, в конце концов, в лучшем случае
256;灯台;とうだい;маяк
257;盗難;とうなん;кража
258;当番;とうばん;дежурство, дежурный, (воен.) дневальный
259;等分;とうぶん;деление на равные части (поровну)
260;透明;とうめい;прозрачный, просвечивающий, ясный, понятный
261;灯油;とうゆ;гарное масло, керосин
262;東洋;とうよう;Восток (в широком смысле)
263;童話;どうわ;рассказ для малышей, сказка
264;通り掛かる;とおりかかる;случайно проходить мимо
265;溶かす;とかす;растворять, топить (масло, воск), расплавлять, плавить (металл)
266;尖る;とがる;быть острым, заостряться, быть взвинченным
267;;どきどき;трепетать, учащённо биться (о сердце)
268;溶く;とく;растворять (краску)
269;退く;どく・のく;отойти с дороги (в сторону), уступать дорогу, уходить, расходиться
270;特殊;とくしゅ;особый, особенный, характерный (для кого-чего-л.)
271;特色;とくしょく;особенность, отличительное свойство, характерная черта
272;特長;とくちょう;особое достоинство, особо сильная сторона
273;特定;とくてい;особо установленный, особый, специальный
274;特売;とくばい;продажа по удешевлённым ценам
275;溶け込む;とけこむ;вливаться во что-л., растворяться в чём-л., интегрироваться
276;溶ける;とける;таять, растворяться, плавиться, сплавляться
277;退ける;どける・のける;убирать с дороги, удалять, исключать, справляться
278;床の間;とこのま;стенная ниша с приподнятым полом и полочками
279;所々;ところどころ;местами, там и сям, кое-где
280;都心;としん;центр города
281;戸棚;とだな;шкаф, буфет
282;;とっくに;очень давно
283;;どっと;вдруг, сразу
284;整う;ととのう;быть готовым (приготовленным), быть в порядке, быть согласованным
285;留まる;とどまる;останавливаться, оставаться на месте
286;怒鳴る;どなる;(за)кричать, (за)орать, воскликнуть, громко браниться
287;飛び込む;とびこむ;влететь, впорхнуть, вскакивать куда-л., ввязываться (в ссору)
288;跳ぶ;とぶ;прыгать, скакать, перепрыгивать, перескакивать
289;泊める;とめる;пускать на ночь, оставлять ночевать, предоставлять место (номер)
290;;ともかく;во всяком случае, так или иначе,  другое дело, не говоря уж
291;捕える;とらえる; поймать, схватить, ухватиться, взять в плен
292;取り入れる;とりいれる;класть, убирать во что-л., снимать урожай, заимствовать
293;取り消す;とりけす;отменять, аннулировать, брать назад (слова), отказываться
294;取り出す;とりだす;вынимать, доставать, вытаскивать, извлекать, выбирать из чего-л.
295;採る;とる;принимать (меры), ловить насекомых, собирать фрукты, брать образец
296;捕る;とる;брать, ловить (рыбу)
297;;トレーニング;тренировка
298;丼;どんぶり;большая фарфоровая чашка (миска), нашивной карман (рабочего жилета)
299;内科;ないか;терапия, терапевтическое отделение
300;内線;ないせん;внутренняя проводка, внутренний телефон
301;;ナイロン;нейлон
302;治す;なおす;исправлять, поправлять, чинить, ремонтировать, излечивать, вылечивать
303;永い;ながい;долгий, вечный
304;仲直り;なかなおり;примирение
305;長引く;ながびく;затягиваться, долго длиться, долго тянуться
306;中身・中味;なかみ;содержимое, содержание, засыпка, начинка
307;中指;なかゆび;средний палец
308;仲良し;なかよし;быть хорошими друзьями, дружные
309;慰める;なぐさめる;утешать, успокаивать, развлекать кого-л.
310;亡くす;なくす;терять кого-то (кто-то умер)
311;殴る;なぐる;бить, колотить, ударять, небрежно относиться к работе
312;為す;なす;делать, совершать
313;謎々;なぞなぞ;загадка, намёк
314;;なだらか;тихий, спокойный, мирный, отлогий, беглый (о речи)
315;懐かしい;なつかしい;вспоминаемый с теплотой, дорогой, ностальгический
316;撫でる;なでる;гладить, поглаживать, приглаживать, проводить рукой
317;斜め;ななめ;косой, наклонный, недовольный
318;何しろ;なにしろ;что ни говори, во всяком случае, как бы то ни было
319;何々;なになに;Что?
320;何分;なにぶん;что бы то ни было, во всяком случае, пожалуйста
321;生意気;なまいき;самодовольство, нахальство, наглый, дерзкий
322;並木;なみき;ряд деревьев (вдоль пороги)
323;倣う;ならう;подражать, следовать примеру, создавать по образцу
324;鳴らす;ならす;производить звук, рассказать повсюду, греметь (о славе)
325;生る;なる;уродиться (о плодах)
326;馴れる;なれる;привыкать, свыкаться, приручаться, привыкать (о животных)
327;南極;なんきょく;Южный полюс, Антарктида
328;何となく;なんとなく;почему-то, что-то, ни с того, ни с сего
329;何とも;なんとも;ничего, никак, нисколько, совершенно, совсем
330;;ナンバー;номер, цифра
331;南米;なんべい;Южная Америка, южноамериканский
332;南北;なんぼく;юг и север
333;煮える;にえる;вариться, свариться, быть сваренным
334;匂う;におう;пахнуть, издавать аромат, благоухать
335;逃がす;にがす;выпускать (отпускать) на свободу, упускать
336;憎い;にくい;ненавистный, противный
337;憎む;にくむ;ненавидеть, питать отвращение
338;憎らしい;にくらしい;противный, раздражающий
339;濁る;にごる;стать мутным, замутиться, помутнеть, быть неясным, озвончаться
340;虹;にじ;радуга
341;日時;にちじ;дни и часы, время
342;日用品;にちようひん;предметы первой необходимости
343;日課;にっか;ежедневные занятия, дневное задание, программа дня
344;日程;にってい;повестка (порядок) дня, программа, расписание, план
345;鈍い;にぶい・のろい;тупой, тусклый (о свете), глухой (о звуке), медлительный, тугодум
346;入社;にゅうしゃ;поступление на службу (в компанию, фирму)
347;女房;にょうぼう;жена, придворная дама
348;睨む;にらむ;злобно смотреть, следить, держать под подозрением, оценивать
349;煮る;にる;варить, тушить
350;俄;にわか;внезапно, вдруг, сразу же
351;縫う;ぬう;шить, вышивать, зашивать
352;濡らす;ぬらす;мочить, смачивать, увлажнять
353;;ねじ;винт, шуруп
354;捩る;ねじる;ввинчивать, завинчивать, ловить на обмолвке
355;;ネックレス;ожерелье
356;熱する;ねっする;сильно нагревать, раскалять, распаляться, горячиться
357;寝間着・寝巻;ねまき;пижама, ночная одежда
358;狙い;ねらい;прицеливание, цель
359;狙う;ねらう;целиться, иметь целью что-л.
360;年度;ねんど;отчётный год (финансовый, операционный, учебный)
361;農産物;のうさんぶつ;сельскохозяйственные продукты, продукты сельского хозяйства
362;農村;のうそん;деревня (в противоположность городу), аграрный
363;濃度;のうど;густота, плотность, насыщенность, концентрация
364;農薬;のうやく;сельскохозяйственные химикаты, удобрения, ядохимикаты
365;能率;のうりつ;эффективность, КПД, производительность, продуктивность
366;鋸;のこ;пила
367;残らず;のこらず;все, всё (без остатка)
368;載せる;のせる;класть, ставить, сажать, грузить, публиковать
369;覗く;のぞく;заглядывать, мельком взглянуть, выглядывать, подглядывать
370;延ばす;のばす;удлинять, продлевать, отсрочивать, отращивать (волосы)
371;延びる;のびる;удлиняться, растягиваться, расти, отсрочиваться, откладываться
372;上り;のぼり;дорога в гору, подъём, восхождение, идущий в столицу (поезд)
373;上る;のぼる;идти вверх, подниматься, взбираться, повышаться, направляться в столицу
374;糊;のり;клей, крахмал
375;乗換;のりかえ;пересадка (транспортная)
376;載る;のる;лежать на чём-л., быть погруженным, быть помещённым (в печати) 
377;;のろのろ;вяло, медленно
378;呑気;のんき;беспечный, беззаботный
379;灰色;はいいろ;серый, пепельный цвет
380;俳句;はいく;хайку (трёхстишие из стихов в 5—7—5 слогов)
381;売店;ばいてん;киоск, ларёк, палатка
382;;バイバイ;Пока!
383;売買;ばいばい;купля и продажа, торговля, торговая сделка
384;這う;はう;ползать, стлаться (о растениях)
385;生える;はえる;расти (о растениях), расти (о волосах, ногтях), прорезаться (о зубах)
386;剥す;はがす;обдирать, сдирать, срывать, отнимать, лишать
387;馬鹿らしい;глупый, безрассудный, нелепый, безумный;
388;秤;はかり;весы
389;量る・測る;はかる;мерить, измерять, взвешивать, подсчитывать, вычислять, оценивать
390;吐き気;はきけ;тошнота
391;;はきはき;проворный, энергичный, живой, проворно, энергично, живо
392;掃く;はく;подметать, подкрашивать, подмазывать
393;歯車;はぐるま;зубчатое колесо, шестерня
394;;バケツ;ведро
395;挟まる;はさまる;быть зажатым, находиться между чем-то
396;挟む;はさむ;зажимать с двух сторон, класть между, закладывать за ухо, затыкать за пояс
397;梯子;はしご;лестница
398;始めに;はじめに;для начала, в первую очередь, во-первых
399;初めに;はじめに;в начале чего-либо
400;斜;はす;косой, наклонный, диагональный
401;外れる;はずれる;соскакивать, открепляться, не попадать, не удаваться, противоречить
402;;パターン;паттерн, образец, тип, шаблон, узор, титры
403;肌着;はだぎ;нижнее бельё
404;果して;はたして;как и предполагалось, как и следовало ожидать, на самом деле
405;鉢;はち;миска, горшок (в том числе цветочный)
406;発揮;はっき;проявлять, выказывать, обнаруживать, демонстрировать
407;;バック;задний план, фон, поддержка
408;発射;はっしゃ;стрельба, выстрел, огонь, запуск (ракеты), излучение, радиация
409;発想;はっそう;выразительность, экспрессия, способ выражения замысла
410;発電;はつでん;выработка электроэнергии
411;発売;はつばい;выпуск в продажу
412;派手;はで;яркий, кричащий, бьющий на эффект, шикарный, щегольской
413;話合い;はなしあい;беседа, собеседование, переговоры, взаимопонимание, договорённость
414;話し掛ける;はなしかける;обращаться к кому-л., заговаривать с кем-л.
415;話中;はなしちゅう;"занято" (о телефоне)
416;甚だしい;はなはだしい;сильный, чрезвычайный, огромный, ужасный
417;花火;はなび;фейерверк
418;花嫁;はなよめ;невеста
419;放れる;はなれる;получить свободу, освободиться от чего-л.
420;羽根;はね;перо, оперение, крылья
421;発条;ばね;пружина, рессора
422;跳ねる;はねる;прыгать, резко двигаться, вставать на дыбы, отскакивать, подскакивать (о ценах)
423;破片;はへん;осколок, обломок, черепок
424;歯磨き;はみがき;зубная паста, зубной порошок, чистка зубов
425;嵌める・填める・篏める;はめる;вставлять, положить, (разг.) заниматься любовью, завлечь
426;早口;はやくち;быстрая речь
427;流行る;はやる;пользоваться большой популярностью, свирепствовать (о болезни)
428;払い込む;はらいこむ;уплачивать, вносить (деньги), делать взнос
429;払い戻す;はらいもどす;возвращать обратно (деньги)
430;;バランス;баланс, равновесие
431;針金;はりがね;проволока
432;張り切る;はりきる;быть натянутым до отказа, быть напряжённым, быть полным воодушевления
433;反映;はんえい;отражение
434;半径;はんけい;радиус
435;判子;はんこ;персональная печать (для подписи)
436;万歳;ばんざい;Банзай! Ура!
437;判事;はんじ;судья, судебный, судебная власть
438;反省;はんせい;самопроверка, самоанализ, самокритика,  размышление, рефлексия
439;番地;ばんち;номер дома, адрес
440;;パンツ;трусы
441;;バンド;банда, группа, лента, пояс, ремень, радио полоса, диапазон, набережная
442;半島;はんとう;полуостров
443;;ハンドル;ручка, рукоятка, руль, рулевое колесо, баранка (руля), штурвал
444;日当たり;ひあたり;солнечное место
445;日帰り;ひがえり;однодневная поездка
446;比較的;ひかくてき;сравнительно, относительно
447;日陰;ひかげ;тень
448;;ぴかぴか;блестеть, сверкать, сверкающий, блестящий
449;引受る;ひきうける;брать в свои руки, нести ответственность, заражаться чем-л.
450;引返す;ひきかえす;поворачивать обратно, возвращаться
451;引算;ひきざん;вычитание
452;引出す;ひきだす;вынимать, вытаскивать, вытягивать, изымать (вклад)
453;引き止める;ひきとめる;задерживать, задержать, удерживать
454;卑怯;ひきょう;малодушие, трусость, низость
455;引分;ひきわけ;ничья в спорте
456;陽射;ひしゃ;солнечный свет, солнечные лучи
457;肘;ひじ;локти, локоть
458;;ピストル;пистолет
459;;ビタミン;витамин
460;引っ掛かる;ひっかかる;попасться (на уловку), быть пойманным, застрять
461;筆記;ひっき;записывание, записи
462;引っ繰り返す;ひっくりかえす;опрокидывать, переворачивать вверх дном, выворачивать наизнанку
463;引っ繰り返る;ひっくりかえる;опрокидываться, переворачиваться, выворачиваться
464;引越し;ひっこし;переезд, переселение
465;引っ込む;ひっこむ;отступать, отходить, стоять в стороне, быть впалым
466;筆者;ひっしゃ;автор, сущ. писавший
467;必需品;ひつじゅひん;предмет первой необходимости
468;人差指;ひとさしゆび;указательный палец
469;一通り;ひととおり;комплект, набор, в общих чертах, бегло, вкратце, обычно
470;人通り;ひとどおり;пешеходное движение, людность
471;一先ず;ひとまず;на время, пока что, не надолго
472;瞳;ひとみ;зрачок
473;一休み;ひとやすみ;передышка
474;独り言;ひとりごと;разговор с собой, монолог, думать вслух
475;独りでに;ひとりでに;само собой (о событии)
476;;ビニール;винил
477;皮肉;ひにく;ирония, сарказм, цинизм
478;日日;ひび;каждый день, изо дня в день, день за днём
479;捻る;ひねる;крутить, вертеть, закручивать, выкручивать, наклонять
480;日の入り;ひのいり;закат (солнца)
481;日の出;ひので;восход (солнца)
482;響き;ひびき;звук, шум, звон, грохот, отзвук, эхо
483;響く;ひびく;звучать, звенеть, греметь, отзываться, сказываться на чём-л.
484;皮膚;ひふ;анат. кожа
485;冷やす;ひやす;остужать, замораживать
486;百科事典;ひゃっかじてん;энциклопедия
487;美容;びよう;красота фигуры
488;表紙;ひょうし;обложка, переплёт
489;標識;ひょうしき;опознавательный (предупредительный) знак, бакен, буй
490;標準;ひょうじゅん;стандарт, норма, средний уровень, критерий, мерило
491;標本;ひょうほん;экспонат, образчик, типичный образец
492;評論;ひょうろん;критика, критический отзыв, рецензия, критическая статья
493;;ビルディング;многоэтажное здание
494;昼寝;ひるね;дневной сон
495;広げる;ひろげる;расширять, распространять, разворачивать, расстилать
496;広さ;ひろさ;ширина, протяжённость, площадь чего-л.
497;広場;ひろば;площадь
498;広々;ひろびろ;широкий, обширный, просторный
499;広める;ひろめる;расширять, распространять, пропагандировать, знакомить с чем-л.
500;;ピンク;розовый
501;便箋;びんせん;почтовая бумага, блокнот с почтовой бумагой
502;瓶詰;びんづめ;бутилирование, разлитый в бутылки
503;;ファスナー;застежка "молния"
504;風船;ふうせん;аэростат, воздушный шар
505;不運;ふうん;злополучие, невезение
506;殖える;ふえる;увеличиваться, расти, прибывать, прибавляться, размножаться
507;深まる;ふかまる;углубляться, становиться глубже
508;不規則;ふきそく;неправильный, нерегулярный, несистематический, беспорядочный
509;普及;ふきゅう;распространение, диффузия
510;付近;ふきん;окрестности
511;拭く;ふく;вытирать, стирать
512;副詞;ふくし;наречие
513;複写;ふくしゃ;репродукция, копия
514;複数;ふくすう;грам. множественное число
515;含める;ふくめる;включать (в себя), растолковывать
516;膨らます;ふくらます;надувать, взбивать
517;膨らむ;ふくらむ;вздуваться, раздуваться, распухать, подниматься (о тесте)
518;不潔;ふけつ;грязнота, нечистый, грязный
519;更ける;ふける;темнеть (о ночи), делаться поздней (об осени)
520;符号;ふごう;(условный) знак, значок, код
521;夫妻;ふさい;супруги, муж и жена
