ID;JP;JP_KANA;RU;
109;叔父さん・伯父さん・小父さん;おじさん;дядя;
110;お爺さん・お祖父さん;おじいさん;дедушка;
111;教える;おしえる;преподавать, учить, объяснять;
112;押す;おす;толкать, нажимать, давить;
113;遅い;おそい;поздний, медленный;
114;お茶;おちゃ;зеленый чай;
115;お手洗い;おてあらい;туалет, уборная;
116;お父さん;おとうさん;(вежл.) отец;
117;弟;おとうと;младший брат;
118;男;おとこ;мужчина;
119;男の子;おとこのこ;мальчик;
120;一昨日;おととい・いっさくじつ;позавчера;
121;一昨年;おととし・いっさくねん;позапрошлый год;
122;大人;おとな;взрослый;
123;お腹;おなか;живот, желудок;
124;同じ;おなじ;одинаковый, такой же, тот же;
125;お兄さん;おにいさん;(вежл.) старший брат;
126;お姉さん;おねえさん;(вежл.) старшая сестра;
127;;おねがいします;пожалуйста;
128;叔母さん・伯母さん;おばさん;тетя;
129;お祖母さん・お婆さん;おばあさん;бабушка;
130;;おはようございます;Доброе утро!;
131;お弁当;おべんとう;обед в коробке;
132;覚える;おぼえる;запоминать;
1132;;おまわりさん;(дружелюбно) полицейский;
133;重い;おもい;тяжелый;
134;面白い;おもしろい;интересный, забавный;
135;;おやすみなさい;спокойной ночи;
136;泳ぐ;およぐ;плавать;
137;降りる;おりる;спускаться, высаживаться из транспорта;
138;終わる;おわる;заканчивать;
139;音楽;おんがく;музыка;
140;女;おんな;женщина;
141;女の子;おんなのこ;девочка;
142;〜回;かい;сч. суф. кол-ва раз;
143;〜階;かい;…этаж;
144;外国;がいこく;заграница, иностранное государство;
145;外国人;がいこくじん;иностранец;
146;会社;かいしゃ;фирма, компания;
147;階段;かいだん;лестница;
148;買い物;かいもの;покупка;
149;買う;かう;покупать;
150;返す;かえす;возвращать, отдавать обратно;
151;帰る;かえる;возвращаться, уходить (домой, обратно);
152;顔;かお;лицо;
153;掛かる;かかる;висеть на чем-то, требоваться (о деньгах, времени), стоить;
154;鍵;かぎ;ключ;
155;書く;かく;писать;
156;学生;がくせい;студент;
157;〜ヶ月;かげつ;…месяца(ев);
158;掛ける;かける;вешать на что-л., звонить по телефону;
159;傘;かさ;зонт;
160;貸す;かす;одалживать, давать взаймы;
161;風邪;かぜ;простуда, грипп;
162;風;かぜ;ветер;
163;家族;かぞく;семья;
164;方;かた;человек, вежливо лицо;
165;片仮名;かたかな;катакана;
166;〜月;がつ;название месяца;
167;学校;がっこう;школа;
1167;;カップ;чашка;
2167;家庭;かてい;домашнее хозяйство;
168;角;かど;внешний угол;
169;家内;かない;моя жена;
170;鞄;かばん;чемодан, портфель;
171;花瓶;かびん;ваза для цветов;
172;被る;かぶる;надевать на голову, быть облитым, брать на себя (вину);
173;紙;かみ;бумага;
174;;カメラ;фотоаппарат;
175;火曜日;かようび;вторник;
176;辛い;からい;острый, горький, крепкий;
177;体;からだ;тело, здоровье;
178;借りる;かりる;брать взаймы;
#179;;〜がる;чувствовать…;
180;軽い;かるい;легкий;
1180;;カレー;кари;
181;;カレンダー;календарь;
182;川・河;かわ;река;
183;〜側;がわ;сторона;
184;可愛い;かわいい;милый, хорошенький;
185;漢字;かんじ;иероглиф;
186;木;き;дерево;
187;黄色・黄色い;きいろ・きいろい;желтый цвет, желтый;
188;消える;きえる;гаснуть, исчезать, таять;
189;聞く;きく;слышать, слушать, спрашивать;
190;北;きた;север;
191;;ギター;гитара;
192;汚い;きたない;грязный, запачканный, подлый;
193;喫茶店;きっさてん;кафе;
194;切手;きって;почтовая марка;
195;切符;きっぷ;билет, талон;
196;昨日;きのう;вчера;
197;九;きゅう;девять;
198;牛肉;ぎゅうにく;говядина;
199;牛乳;ぎゅうにゅう;молоко;
200;今日;きょう;сегодня;
201;教室;きょうしつ;класс, аудитория;
202;兄弟;きょうだい;братья и сестры;
203;去年;きょねん;прошлый год;
204;嫌い;きらい;нелюбовь, антипатия, нелюбимый;
205;切る;きる;резать, прерывать;
206;着る;きる;надевать одежду;
207;;きれい;красивый, чистый;
208;;キロ・キログラム;килограмм;
209;;キロ・キロメートル;километр;
210;銀行;ぎんこう;банк;
211;金曜日;きんようび;пятница;
212;九;く;девять;
213;薬;くすり;лекарство;
214;下さい;ください;пожалуйста;
215;果物;くだもの;фрукты;
216;口;くち;рот, губы;
217;靴;くつ;обувь, ботинки;
218;靴下;くつした;носки;
219;国;くに;страна, государство;
220;曇る;くもる;становиться пасмурным;
221;暗い;くらい;темный, мрачный, несведущий;
222;〜位;くらい・ぐらい;приблизительно…;
223;;クラス;класс;
#224;;グラス;стакан;
225;来る;くる;приходить;
226;車;くるま;автомобиль, телега, вагон;
227;黒・黒い;くろ・くろい;черный цвет, черный;
1227;警官;けいかん;полицейский;
228;今朝;けさ;сегодня утром;
229;消す;けす;тушить, гасить, выключать, стирать;
230;結構;けっこう;прекрасный, великолепный, достаточно;
231;結婚;けっこん;брак, женитьба, замужество;
232;月曜日;げつようび;понедельник;
233;玄関;げんかん;прихожая, передняя, холл;
234;元気;げんき;бодрость, хорошее настроение, здоровье;
235;〜個;こ;…штук (для мелких предметов);
236;〜語;ご;…язык (название языка);
237;五;ご;пять;
238;公園;こうえん;общедоступный парк;
1238;交差点;こうさてん;перекресток;
2238;紅茶;こうちゃ;черный чай;
239;交番;こうばん;полицейский пост;
240;声;こえ;голос;
241;;コート;пальто;
1241;;コーヒー;кофе;
242;;ここ;здесь (рядом с говорящим);
243;午後;ごご;вторая половина дня, после полудня;
244;九日;ここのか;девятое число, девять дней;
245;九つ;ここのつ;девять;
246;御主人;ごしゅじん;хозяин, господин;
247;午前;ごぜん;до полудня, первая половина дня;
248;答える;こたえる;отвечать;
249;;ごちそうさまでした;спасибо за угощение;
250;;こちら;это лицо, этот путь (рядом с говорящим);
1250;;こっち;этот путь, сюда (рядом с говорящим);
251;;こちらこそ;мне тоже приятно;
252;;コップ;стакан, бокал;
253;今年;ことし;этот год;
254;言葉;ことば;слово, слова, язык, речь;
255;子供;こども;ребенок, дети;
256;;この;этот… (рядом с говорящим);
257;御飯;ごはん;вареный рис, еда;
258;困る;こまる;быть в затруднении;
1258;;コピーする;копировать;
259;;ごめんください;извините, можно войти?;
260;;ごめんなさい;извините;
261;;これ;это (рядом с говорящим);
262;〜頃;ころ・ごろ;примерно в… (время);
263;今月;こんげつ;этот месяц;
264;今週;こんしゅう;эта неделя;
265;;こんな;такой, подобный;
266;今日は;こんにちは;добрый день!;
267;今晩;こんばん;этот вечер, сегодня вечером;
268;今晩は;こんばんは;добрый вечер!;
269;;さあ;ну, ну-ка, ну-вот;
270;〜歳;さい;…лет (возраст);
1271;財布;さいふ;кошелек;
271;魚;さかな;рыба;
272;先;さき;впереди, дальше, острие, кончик;
273;咲く;さく;цвести, расцветать;
274;作文;さくぶん;сочинение;
275;差す;さす;раскрывать над собой зонтик, протягивать руку;
276;〜冊;さつ;сч. суф. для книг;
277;雑誌;ざっし;журнал;
278;砂糖;さとう;сахар;
279;寒い;さむい;холодный;
280;;さよなら・さようなら;до свидания (надолго);
281;再来年;さらいねん;через год;
282;;〜さん;господин…, госпожа… (при обращении);
283;三;さん;три;
284;散歩;さんぽ;прогулка;
285;四;し;четыре;
286;〜時;じ;…час;
287;塩;しお;соль;
288;然し;しかし;но, однако;
289;時間;じかん;время;
290;〜時間;じかん;…часов;
291;仕事;しごと;работа, занятие;
292;辞書;じしょ;словарь;
293;静か;しずか;тихий, спокойный;
294;下;した;низ, снизу;
295;七;しち・なな;семь;
296;質問;しつもん;вопрос;
297;失礼しました;しつれいしました;извините за грубость;
298;失礼します;しつれいします;извините (перед обращением, уходом, прежде чем войти);
299;自転車;じてんしゃ;велосипед;
300;自動車;じどうしゃ;автомобиль;
301;死ぬ;しぬ;умирать;
302;字引;じびき;словарь;
303;自分;じぶん;сам;
304;閉まる;しまる;быть закрытым;
305;締める;しめる;завязывать, затягивать, экономить;
306;閉める;しめる;закрывать, запирать;
307;;じゃ・じゃあ;ну тогда, в таком случае;
308;写真;しゃしん;фотография;
309;;シャツ;мужская рубашка;
1309;;シャワー;душ;
310;十;じゅう;десять;
311;〜週間;しゅうかん;…недель;
312;授業;じゅぎょう;урок, занятие;
313;宿題;しゅくだい;домашнее задание;
314;上手;じょうず;умелый, искусный;
315;丈夫;じょうぶ;здоровый, крепкий, прочный;
316;醤油;しょうゆ;соевый соус;
317;食堂;しょくどう;столовая;
318;知る;しる;знать;
319;白・白い;しろ・しろい;белый цвет, белый;
320;〜人;じん;суф. национальности;
321;新聞;しんぶん;газета;
322;水曜日;すいようび;среда;
323;吸う;すう;вдыхать, втягивать, сосать;
324;;スカート;юбка;
325;好き;すき;любимый, нравящийся;
326;〜過ぎ;すぎ;после…, сверх…;
327;直ぐに;すぐに;сразу, немедленно, скоро;
328;少し;すこし;немного, немножко;
329;涼しい;すずしい;прохладный, освежающий;
330;〜ずつ;ずつ;по… (после числ.);
331;;ストーブ;металлическая печка;
332;;スプーン;ложка;
333;;スポーツ;спорт;
334;;ズボン;брюки;
335;;すみません;извините, прошу прощения, виноват;
336;住む;すむ;жить, проживать;
337;;スリッパ;тапочки;
338;;する;делать;
339;座る;すわる;сидеть, садиться;
340;背;せ・せい;рост;
341;生徒;せいと;ученик;
342;;セーター;свитер;
343;石鹸;せっけん;мыло;
344;背広;せびろ;мужской костюм;
345;狭い;せまい;узкий, тесный;
346;;ゼロ;ноль;
347;千;せん;тысяча;
348;先月;せんげつ;прошлый месяц;
349;先週;せんしゅう;прошлая неделя;
350;先生;せんせい;учитель;
351;洗濯;せんたく;стирка;
352;全部;ぜんぶ;все, целиком;
#353;そう;да （...です）;
354;掃除;そうじ;уборка;
355;;そうして・そして;и…, так же…;
356;;そこ;там (рядом собеседником);
357;;そちら;та сторона, путь (рядом с собеседником);
1357;;そっち;та сторона, туда;
358;外;そと;снаружи;
359;;その;этот… (рядом с собеседником);
360;側;そば;рядом, возле, поблизости;
361;空;そら;небо;
362;;それ;это (рядом с собеседником);
363;;それから;затем;
364;;それでは;в таком случае;
365;〜台;だい;сч. суф. для механизмов, подставка;
366;大学;だいがく;университет;
367;大使館;たいしかん;посольство;
368;大丈夫;だいじょうぶ;все в порядке;
369;大好き;だいすき;очень люблю;
370;大切;たいせつ;важный;
371;大抵;たいてい;большей частью, обычно;
372;台所;だいどころ;кухня;
373;;たいへん;очень, ужасно;
374;高い;たかい;высокий, дорогой;
375;沢山;たくさん;много;
376;;タクシー;такси;
377;出す;だす;вынимать;
378;〜達;たち;суф. мн. числа людей;
379;立つ;たつ;стоять, вставать;
380;建物;たてもの;здание, строение;
381;楽しい;たのしい;приятный;
382;頼む;たのむ;просить, поручать;
383;煙草;たばこ;сигареты;
384;多分;たぶん;наверное, вероятно;
385;食べ物;たべもの;еда;
386;食べる;たべる;кушать, есть;
387;卵;たまご;яйцо;
388;誰;だれ;кто;
389;誕生日;たんじょうび;день рождения;
390;段々;だんだん;постепенно;
391;小さい・小さな;ちいさい・ちいさな;маленький;
392;近い;ちかい;близкий;
393;違う;ちがう;отличаться, нет!;
394;近く;ちかく;близко, поблизости;
395;地下鉄;ちかてつ;метро;
396;地図;ちず;карта;
397;父;ちち;отец;
398;茶色;ちゃいろ;светло-коричневый цвет;
399;茶碗;ちゃわん;чайная чашка (в форме пиалы);
400;〜中;ちゅう;в течение…, во время…;
401;丁度;ちょうど;как раз, точно, ровно;
402;一寸;ちょっと;немного, немножко, чуть-чуть;
403;一日;ついたち;первое число месяца;
404;使う;つかう;использовать, применять;
405;疲れる;つかれる;уставать;
406;次ぎ;つぎ;следующий;
407;着く;つく;прибывать, занимать место;
408;机;つくえ;стол;
409;作る;つくる;делать, изготовлять;
410;点ける;つける;зажигать, включать (свет, электричество);
411;勤める;つとめる;служить, исполнять обязанности;
412;詰らない;つまらない;бесполезный, скучный;
413;冷たい;つめたい;холодный;
414;強い;つよい;сильный;
415;手;て;рука;
416;;テープ;лента, магнитная пленка;
417;;テーブル;стол;
418;;テープレコーダー;магнитофон;
419;出掛ける;でかける;выходить, отправляться;
420;手紙;てがみ;письмо;
421;出来る;できる;мочь;
422;出口;でぐち;выход;
423;;テスト;тест;
424;;では;ну, тогда, значит, в таком случае;
425;お元気で;おげんきで;берегите себя!;
#426;;では・また;ну, пока;
427;;デパート;универмаг;
428;;でも;но;
429;出る;でる;выходить, появляться;
430;;テレビ;телевизор;
431;天気;てんき;погода;
432;電気;でんき;электричество, свет;
433;電車;でんしゃ;электричка;
434;電話;でんわ;телефон;
435;戸;と;японская дверь;
436;〜度;ど;…градусов, …раз;
437;;ドア;дверь (западная);
438;;トイレ;туалет;
439;;どう;как? (субъективное мнение);
440;;どうして;почему?, каким образом? (как случилось);
441;;どうぞ;пожалуйста;
442;;どうぞよろしく;приятно познакомиться (в конце представления);
443;動物;どうぶつ;животное;
444;;どうも;очень, спасибо;
445;;どうもありがとうございます;большое спасибо;
446;十;とお;десять;
447;遠い;とおい;далекий;
448;十日;とおか;десятое число, десять дней;
449;時々;ときどき;иногда;
450;時計;とけい;часы;
451;;どこ;где?;
452;所;ところ;место;
1452;年;とし;год;
453;図書館;としょかん;библиотека;
454;何方;どちら;где, который, кто;
455;;とても;очень;
456;;どなた;вежливо кто?;
457;隣り;となり;соседний, по соседству;
458;;どの;какой…, который…;
459;飛ぶ;とぶ;лететь, прыгать;
460;止まる;とまる;останавливаться, прекращаться;
461;友達;ともだち;друг;
462;土曜日;どようび;суббота;
463;鳥;とり;птица;
464;鳥肉;とりにく;курятина, мясо птицы;
465;取る;とる;брать;
466;撮る;とる;фотографировать;
467;;どれ;какой, который (из более чем двух предметов);
468;;どんな;какой;
469;無い;ない;нет, не быть, не иметься;
470;;ナイフ;нож;
471;中;なか;середина, внутри, в;
472;長い;ながい;длинный;
473;鳴く;なく;чирикать, мычать, издавать звук (о животных);
1473;;なぜ;почему;
474;夏;なつ;лето;
475;夏休み;なつやすみ;летние каникулы;
476;;など;и так далее;
477;七つ;ななつ;семь;
478;何;なに・なん;что?;
479;七日;なのか;семь дней, седьмое число месяца;
480;名前;なまえ;имя;
481;習う;ならう;учиться, изучать;
482;並ぶ;ならぶ;стоять в ряд, быть подобным;
483;並べる;ならべる;ставить в ряд;
484;;なる;становиться, делаться;
485;二;に;два;
486;賑やか;にぎやか;оживленный, многолюдный;
487;肉;にく;мясо;
488;西;にし;запад;
489;〜日;にち;число (день) месяца или кол-во дней;
490;日曜日;にちようび;воскресенье;
491;荷物;にもつ;багаж, груз;
492;;ニュース;новости;
493;庭;にわ;сад, двор;
494;〜人;にん;сч. суф. для людей;
495;脱ぐ;ぬぐ;снимать одежду;
1495;温い;ぬるい;слегка теплый;
496;;ネクタイ;галстук;
1496;猫;ねこ;кошка;
497;寝る;ねる;ложиться спать, засыпать, спать;
498;〜年;ねん;…год;
499;;ノート;записная книжка, записи;
#500;上る;のぼる;подниматься, взбираться, ехать в столицу;
501;登る;のぼる;подниматься, взбираться;
#502;昇る;のぼる;подниматься, получать повышение;
503;飲み物;のみもの;напиток;
504;飲む;のむ;пить;
505;乗る;のる;ехать в транспорте;
506;歯;は;зуб;
507;;パーティー;вечеринка;
508;;はい;да;
509;〜杯;はい・ぱい;сч. суф. выпитых чашек, рюмок;
510;灰皿;はいざら;пепельница;
511;入る;はいる;входить;
512;葉書;はがき;открытка;
513;;はく;надевать на ноги;
514;箱;はこ;ящик, коробка;
515;橋;はし;мост;
516;箸;はし;палочки для еды;
517;始まる;はじまる;начинаться;
518;始め・初め;はじめ;начало;
519;初めて;はじめて;впервые;
520;始めまして;はじめまして;фраза для представления себя (знакомство);
521;走る;はしる;бежать, ехать (о машине);
522;;バス;автобус;
523;;バター;сливочное масло;
524;二十歳;はたち;20 лет;
525;働く;はたらく;работать;
526;八;はち;восемь;
527;二十日;はつか;20-е число, 20-ть дней;
528;花;はな;цветок;
529;鼻;はな;нос;
530;話;はなし;беседа, разговор;
531;話す;はなす;говорить;
532;母;はは;мама;
533;早い;はやい;ранний;
534;速い;はやい;быстрый;
535;春;はる;весна;
536;貼る;はる;наклеивать;
1536;晴れ;はれ;ясная погода;
537;晴れる;はれる;проясняться, рассеиваться;
538;〜半;はん;половина;
539;晩;ばん;вечер;
540;〜番;ばん;порядковый номер, очередь;
541;;パン;хлеб;
542;;ハンカチ;носовой платок;
543;番号;ばんごう;порядковый номер;
544;晩御飯;ばんごはん;ужин;
545;半分;はんぶん;половина, полминуты;
546;東;ひがし;восток;
547;〜匹;ひき;сч. суф. для мелких животных;
548;引く;ひく;тянуть, тащить;
549;弾く;ひく;играть на муз. инструментах;
550;低い;ひくい;низкий;
551;飛行機;ひこうき;самолет;
552;左;ひだり;левый, слева, налево;
553;人;ひと;человек;
554;一つ;ひとつ;один;
555;一月;ひとつき;один месяц;
556;一人;ひとり;один человек;
557;暇;ひま;свободное время;
558;百;ひゃく;сотня;
559;病院;びょういん;больница;
560;病気;びょうき;болезнь;
561;平仮名;ひらがな;хирагана;
562;昼;ひる;дневное время, середина дня;
563;昼御飯;ひるごはん;обед;
564;広い;ひろい;широкий, просторный;
565;;フィルム;пленка;
566;封筒;ふうとう;конверт;
567;;プール;бассейн;
568;;フォーク;вилка;
569;吹く;ふく;дуть, выдувать;
570;服;ふく;одежда;
571;二つ;ふたつ;два;
572;豚肉;ぶたにく;свинина;
573;二人;ふたり;двое людей;
574;二日;ふつか;второе число, два дня;
575;太い;ふとい;толстый, жирный;
576;冬;ふゆ;зима;
577;降る;ふる;идти (об осадках);
578;古い;ふるい;старый (не о людях);
579;風呂;ふろ;японская баня, ванна;
580;〜分;ふん;минута;
581;;ページ;страница;
582;下手;へた;неумелый;
583;;ベッド;кровать;
584;部屋;へや;комната;
585;辺;へん;район, местность, окрестности;
586;;ペン;ручка;
587;勉強;べんきょう;занятие, учение;
588;便利;べんり;удобство;
589;方;ほう;сторона, направление;
590;帽子;ぼうし;шляпа;
591;;ボールペン;шариковая ручка;
592;外;ほか;другой;
593;;ポケット;карман;
594;欲しい;ほしい;желанный, хотеть;
595;細い;ほそい;тонкий, узкий;
596;;ボタン;кнопка;
597;;ホテル;гостиница, отель;
598;本;ほん;книга;
599;〜本;ほん;сч. суф. для продолговатых предметов;
600;本棚;ほんだな;книжная полка;
601;本当;ほんとう;правда;
602;毎…;まい;каждый (день, месяц, год);
603;〜枚;まい;сч. суф. для плоских предметов;
604;毎朝;まいあさ;каждое утро;
605;毎月;まいげつ・まいつき;каждый месяц;
606;毎週;まいしゅう;каждую неделю;
607;毎日;まいにち;каждый день;
608;毎年;まいねん;каждый год;
609;毎晩;まいばん;каждый вечер;
610;前;まえ;перед, впереди;
611;〜前;まえ;…тому назад;
612;曲がる;まがる;гнуться, сгибаться, поворачивать;
613;不味い;まずい;невкусный, неумелый, непривлекательный;
614;又;また;опять, снова, к тому же;
615;未だ;まだ;все еще, пока… , еще не;
616;町;まち;город;
617;待つ;まつ;ждать;
618;;まっすぐ;прямо, не сворачивая;
619;;マッチ;спички, подходить, матч;
620;窓;まど;окно;
621;丸い・円い;まるい;круглый;
622;万;まん;десять тысяч;
623;万年筆;まんねんひつ;авторучка;
624;磨く;みがく;чистить, полировать, чистить;
625;右;みぎ;правый, справа, направо;
626;短い;みじかい;короткий;
627;水;みず;вода;
628;店;みせ;магазин;
629;見せる;みせる;показывать;
630;道;みち;дорога, путь, улица;
631;三日;みっか;третье число, три дня;
632;三つ;みっつ;три;
633;皆さん;みなさん;все (собравшиеся), Господа!;
634;南;みなみ;юг;
635;耳;みみ;ухо;
636;見る;みる;смотреть;
637;皆;みんな;все, все присутствующие (разг.);
638;六日;むいか;шестое число, шесть дней;
639;向こう;むこう;та сторона (там);
640;難しい;むずかしい;трудный;
641;六つ;むっつ;шесть;
642;目;め;глаз;
643;;メートル;метр;
644;眼鏡;めがね;очки;
645;;もう;уже;
646;もう一度;もういちど;еще раз, снова;
647;木曜日;もくようび;четверг;
648;;もしもし;алло;
649;勿論;もちろん;конечно;
650;持つ;もつ;держать, иметь, обладать;
651;;もっと;еще (больше);
652;物;もの;вещь;
653;門;もん;ворота;
654;問題;もんだい;проблема, вопрос;
655;〜屋;や;суф. профессии, заведения, лавки;
656;八百屋;やおや;овощной магазин;
657;野菜;やさい;овощи;
658;易しい;やさしい;легкий, простой;
659;安い;やすい;дешевый, спокойный;
660;休み;やすみ;отдых, каникулы, перерыв;
661;休む;やすむ;отдыхать, пропускать;
662;八つ;やっつ;восемь;
663;山;やま;гора;
664;遣る;やる;делать;
665;夕方;ゆうがた;вечер, сумерки;
666;郵便局;ゆうびんきょく;почтовое отделение;
667;昨夜;ゆうべ;вчера вечером;
668;有名;ゆうめい;известный, знаменитый;
669;雪;ゆき;снег;
670;;ゆっくりと;медленно, не спеша, потихоньку;
671;八日;ようか;восемь дней, восьмое число;
672;洋服;ようふく;западная одежда;
#673;好く;よく;хорошо;
#674;良く;よく;часто;
674;;よく;часто;
675;横;よこ;бок, боковая сторона, ширина;
676;四日;よっか;четвертое число, четыре дня;
677;四つ;よっつ;четыре;
678;呼ぶ;よぶ;звать, приглашать;
679;読む;よむ;читать;
680;夜;よる;ночь, вечер;
681;来月;らいげつ;следующий месяц;
682;来週;らいしゅう;следующая неделя;
683;来年;らいねん;следующий год;
684;;ラジオ;радио;
685;立派;りっぱ;прекрасный, превосходный, выдающийся;
686;留学生;りゅうがくせい;иностранный студент;
687;両親;りょうしん;родители;
688;料理;りょうり;кушанье, еда, какая-то кухня;
689;旅行;りょこう;путешествие, поездка;
690;零;れい;ноль;
691;冷蔵庫;れいぞうこ;холодильник;
692;;レコード;рекорд, запись;
693;;レストラン;ресторан;
694;練習;れんしゅう;упражнения, тренировка;
695;六;ろく;шесть;
696;;ワイシャツ;мужская рубашка;
697;若い;わかい;молодой;
698;分かる;わかる;понимать, быть понятным;
699;忘れる;わすれる;забывать;
700;私;わたし・わたくし;я (нейтрально и официально);
702;渡す;わたす;переправлять, перевозить, вручать;
703;渡る;わたる;переходить, переправляться, пересекать;
704;悪い;わるい;плохой, виноватый;
