ID;ГРАММАТИКА;ЗНАЧЕНИЕ
132;<本|ほん><と#1><車|くるま><とどちらが#1>いい<ですか#1>;<что лучше#1> - книга <или#1> машина?
133;<車|くるま><のほうが#1>いいです;машина лучше
134;<果物|くだもの><の中で|のなかで#1><何が|なにが#2><いちばん甘い|いちばんうまい#3>ですか;<среди#1> фруктов <что#2> <самое вкусное#3>?
135;ヨーロッパ<の中で|のなかで#1><どこが#2><いちばんよかった#3>ですか;<где#2> вам <больше всего понравилось#3> <в#1> Европе?
136;<家族|かぞく><の中で|のなかで#1><だれが#2><いちばん高い|いちばんたかい#3>ですか;<кто#2> <самый высокий#3> у вас <в#1> семье?
137;１年<の中で|のなかで#1><いつが#2><いちばん寒い#3>ですか;<когда#2> <холоднее всего#3> <в#1> году?
138;リンゴ<がいちばん#1><甘|うま>いです;<самое#1> сладкое яблоко
139;<犬|いぬ><がほしい#1>です;<хочу#1> собаку
140;<子供|こども><がほしい#1>ですか;<хотите#1> ребенка?
141;コンサートに<行|い>き<たい#1>;<хочу#1> пойти на концерт
142;<何|なに>を<買|か>い<たい#1>ですか;что <хотите#1> купить?
143;コーヒーは<いかが#1>ですか;<как насчет#1> кофе?
144;コーヒーを<飲みませんか|のみませんか#1>;<попьем#1> кофе?
145;<日本|にほん><へ#1><勉強|べんきょう><に#1><行|い>く;<в#1> Японию поеду учиться
146;<店|みせ>へ<買い物|かいもの#1><に#1><行く|いく#1>;<идти#1> в магазин <за покупками#1>
147;あの<喫茶店|きっさてん>に<入|はい>る;зайду в то кафе(место назначения)
148;どこ<か#1>;куда/где-<нибудь#1>
149;<何|なに><か#1>;что-<нибудь#1>
150;<見|み><てください>;посмотрите пожалуйста
151;<持|も><ちましょうか#1>;давайте подержу
152;<雨|あめ><が#1><降|ふ>っている;идет дождь
153;<吸|す>っ<てもいい#1>;<можно#1> курить
154;<吸|す>っ<てもいいですか#1>;<можно#1> курить<?#1>
155;<吸|す>っ<てはいけません#1>;<нельзя#1> курить
156;<吸|す>っ<てはいけない#1>;<нельзя#1> курить
157;けっこんしている;я женат/замужем
158;<吸|す><わないで#1>ください;пожалуйста <не#1> курите
159;<行|い><かなければなりません#1>;<нужно#1> идти
160;<行|い><かなくてもいい#1>;<можно не#1> идти
161;<店|みせ>に行っ<て#1>、<映画|えいが>を<見|み><て#1>、<帰|かえ>った;сходил в магазин, посмотрел кино и вернулся домой
162;<天気|てんき>はよ<くて#1>、<暑|あつ>い;погода хорошая и жаркая
163;ここは<静|しず>か<で#1>、きれいな<町|まち>です;здесь тихий и красивый город
164;コンサートが<終|お>わっ<てから#1>、<帰|かえ>りました;<после того как#1> закончился концерт вернулся домой
165;<大阪|おおさか><は#1><食|た>べ<物|もの><が#1>美味しい;еда в Осаке вкусная
166;マリアさん<は#1><髪|かみ><が#1>ながい;У Марии длинные волосы
167;どうやって;каким способом?
168;マイクさんは<どの#1>人ですか;кто из людей Майк?
169;５<時|じ><までに#1>;<к#1> пяти часам
170;<日本語|にほんご><ができる#1>;<могу#1> говорить по-японски
171;<本|ほん>を<読|よ>む<ことができる#1>;<могу#1> читать　книгу
172;<私|わたそ>の<趣味|しゅうみ>は<音楽|おんがく>を<聞|き>くことです;мое хобби - слушать музыку
173;<寝|ね>る<前に|まえに#1><洗|あ>らいます;<перед тем как#1> спать, умываюсь
174;<勉強|べんきょう><の前に|のまえに#1><寝|ね>る;<перед тем как заниматься#1>, сплю
175;なかなか;с отрицанием непросто/никак
176;ぜひ;усиление желания (очень хочу)
177;<本|ほん>を<読|よ>む<ことがある#1>;случалось читать книги
178;し<たり#1><見|み><たり#1><した#2>;делал, смотрел…
179;<暑|あつ><くなる#1>;<становиться#1> жарко
180;<静|しず>か<になる#1>;<становиться#1> тихо
181;<医者|いしゃ><になる#1>;<становиться#1> врачом
182;が・けど;союзы "а"/"но"
183;<雨|あめ>が<降|ふ>る<と思う|とおもう#1>;<думаю что#1>, пойдет дождь
184;<寝|ね>る<前|まえ>に「おやすみ」と<言|い>う;перед сном говорят спокойной ночи
185;でしょう？;для ведь так?
186;ビールでも;пива или еще чего
187;<行|い>か<ないとならない#1>;<надо#1> идти
188;<行|い>か<ないと#1>…;<надо#1> идти…
189;<食|た>べる<時間|じかん>がない;нет времени поесть
190;…<見|み>る<約束|やくそく>がある;обещал посмотреть…
191;…<行|い>くようじがある;нужно сходить…
192;<帰|かえ>る<とき#1>パンを<買|か>った;<когда#1> возвращался домой купил хлеб
193;コンサートが<終|お>わった<とき#1>レストランに<行|い>く;<когда#1> закончится концерт, пойду в ресторан
194;<暑|あつ>いとき…;когда жарко…
195;<静|しず>かなとき…;когда тихо…
196;<子供|こども><のとき#1><泳|およ>ぐことが<好|す>きでした;<в#1> детстве любил плавать
197;このボタンを<押|お>すと、お<釣|つ>りが<出|で>る;<если#1> нажать эту кнопку, <то#1> (неизбежно) получите сдачу
198;<木村|きむら>さん<に#1><本|ほん>を<貸してあげる|かしてあげる#1>;одолжил г-ж Кимуре книгу
199;<山田|やまだ>さん<に#1><電話番号|でんわばんごう>を<書いてもらう|かいてもらう#1>;г-н Ямада написал мне номер телефона
200;<母|はは>は<私|わたし><に#1>リンゴを<送ってくれた|おくってくれた#1>;мама прислала мне яблоко
201;お<金|かね>があっ<たら#1>、<旅行|りょこう>する;<если#1> будут деньги - поеду путешествовать
202;<雨|あめ>が<降|ふ>っ<ても#1><行|い>きます;<даже если#1> пойдет дождь - пойду
203;<暑|あつ>く<ても#1><行|い>く;<даже если#1> жарко - пойду
204;<静|しず>か<でも#1><言|い>う;<даже если#1> тихо - скажу
205;<日曜日|にちようび><でも#1><働|はたら>く;<даже если#1> воскресение, то работаю
206;<もし#1>お<金|かね>があったら旅<行|い>する;<если#1> будут деньги, буду путешествовать
207;<いくら#1><高|たか>く<ても#1><買|か>う;<какой бы#1> дорогой не был - куплю
208;<見|み><ても#1><分|わ>からない;хотя и смотрел, но не понимаю
209;<雨|あめ>が降っ<たら#1>、<行|い>きません;<если#1> пойдет дождь - не пойду
210;<私|わたし>はさとさん<に#1><花|はな>を<あげました#1>;я подарил цветы Сато-сан
211;さとさんは私<に#1>葉書を<くれました#1>;Сато-сан мне подарила открытку
212;<私>はさとさん<に#1><鉛筆|はがき>を<もらいました#1>;я получил от Сато-сан ручку
