JP;JP_KANA;RU
計算;けいさん;счёт, расчёт, калькуляция, вычисление
掲示;けいじ;объявление
刑事;けいじ;уголовное дело, детектив, следователь
芸術;げいじゅつ;искусство
契約;けいやく;договор, соглашение, контракт
経由;けいゆ;через, проходить, проезжать через ч-л
;ケース;случай, дело, факт
;ゲーム;игра
劇;げき;драма, пьеса
劇場;げきじょう;театр, здание театра
化粧;けしょう;косметика, макияж
;けち;(разг.) скупость, жадность, невезение
結果;けっか;результат, эффект, последствия
欠陥;けっかん;недостаток, дефект, нехватка, дефицит
結局;けっきょく;в конце концов, в конечном счёте
決心;けっしん;решимость, решение
欠席;けっせき;неявка (на занятия), отсутствие
決定;けってい;решение, постановление, определение
欠点;けってん;недостаток, изъян, слабое место, неуд оценка
月曜;げつよう;(сокр.) понедельник
結論;けつろん;вывод, заключение
煙;けむり;дым
券;けん;билет, купон, облигация, талон
県;けん;префектура
軒;けん;сч. суф. для зданий
見解;けんかい;мнение, взгляд
限界;げんかい;предел, граница, рамки
現金;げんきん;наличные деньги, меркантильный, корыстный
言語;げんご;язык, речь, слова
健康;けんこう;здоровье
検査;けんさ;проверка, осмотр, анализ
現在;げんざい;настоящее время
現実;げんじつ;действительность, реальность
現象;げんしょう;явление, феномен
現状;げんじょう;состояние, действительное положение
建設;けんせつ;строительство, сооружение, созидание
現代;げんだい;современность, современная эпоха
建築;けんちく;строительство, постройка, архитектура (здания)
見当;けんとう;цель, предположение, оценка, направление, приблизительно
検討;けんとう;изучение, рассмотрение
現場;げんば;место происшествия, место действия
憲法;けんぽう;конституция
権利;けんり;(юр.) право
後;ご;(суф.) после, через
恋;こい;любовь, влюбленность
濃い;こい;густой, крепкий (о чае), темный (о цвете)
恋人;こいびと;возлюбленный, возлюбленная
幸運;こううん;счастливая судьба, удача, счастье
講演;こうえん;лекция, выступление, речь
効果;こうか;эффект, действие, результат
硬貨;こうか;монета, металлические деньги
高価;こうか;высокая цена
豪華;ごうか;роскошный, пышный
合格;ごうかく;соответствовать требованиям (экзамена), выдерживать испытания
交換;こうかん;обмен, размен, клиринг
航空;こうくう;авиация, воздушное сообщение
光景;こうけい;зрелище, вид, пейзаж, картина
合計;ごうけい;итог, общая сумма
攻撃;こうげき;нападение, атака, наступление, критика
貢献;こうけん;вклад (во ч-л), заслуги
広告;こうこく;реклама, объявление, афиша
交際;こうさい;знакомство, общение, отношение
後者;こうしゃ;последний
構成;こうせい;составление, формирование, состав, конструкция
高速;こうそく;высокоскоростной (в сочетаниях)
行動;こうどう;действие, поступок, поведение
強盗;ごうとう;грабеж, грабитель, разбойник
幸福;こうふく;счастье
公平;こうへい;справедливость, беспристрастность
候補;こうほ;кандидатура, кандидат
考慮;こうりょ;обдумывание, принятие в расчет, учитывать
越える;こえる;превосходить, переходить, пересекать
;コーチ;тренировка, подготовка, тренер
;コード;код, шифр, шнур, провод, (мат.) хорда
氷;こおり;лёд
凍る;こおる;замерзать, покрываться льдом
;ゴール;цель, гол
誤解;ごかい;заблуждение, неправильное понимание, недоразумение
語学;ごがく;изучение языков, лингвистика
呼吸;こきゅう;дыхание
故郷;こきょう;родина, родные места
極;ごく;очень, крайне, весьма
国語;こくご;национальный язык, родной язык, японский язык
黒板;こくばん;классная доска
克服;こくふく;преодоление, преодолевать
国民;こくみん;народ, нация
穀物;こくもつ;зерно, зерновые
腰;こし;поясница, талия, бедра
個人;こじん;частное лицо, индивидуум, личный, персональный
越す;こす;переходить, перебираться, переезжать
国家;こっか;государство
国会;こっかい;парламент, национальное собрание, конгресс
国境;こっきょう;государственная граница
骨折;こっせつ;перелом (кости)
小包;こづつみ;почтовая посылка, узелок, сверток
異なる;ことなる;отличаться, быть другим
諺;ことわざ;пословица, поговорка
断る;ことわる;отклонять, отказывать, извинять, предупреждать
粉;こな;порошок, мука
好み;このみ;вкус, предпочтение, мода
好む;このむ;любить, предпочитать
小麦;こむぎ;пшеница
小屋;こや;хибара, хижина, лачуга, сарай
;これら;эти
殺す;ころす;убивать, сдерживать (чувство)
転ぶ;ころぶ;падать, опрокидываться
今回;こんかい;в этот раз
今後;こんご;в дальнейшем, впредь, отныне
混雑;こんざつ;суматоха, суета, быть переполненным (пассажирами итд)
;こんなに;так, настолько
困難;こんなん;трудности, сложности
婚約;こんやく;помолвка, обручение
混乱;こんらん;беспорядок, дезорганизация, хаос, паника
差;さ;разница, различие, мат. остаток, разность
;サービス;сервис, обслуживание, спортивная подача
際;さい;во время, в случае, при
最高;さいこう;максимальный, лучший, оптимальный, отлично!
財産;ざいさん;имущество, состояние, достояние
最終;さいしゅう;последний, конечный, заключительный, окончательный
最中;さいちゅう;в самой середине, в разгар
最低;さいてい;минимальный, наименьший, разг. подлый, низкий
才能;さいのう;талант, дар, способности
裁判;さいばん;суд, судебное разбирательство
材料;ざいりょう;материалы, ингредиенты, данные
幸い;さいわい;счастье, благополучие, удача
;サイン;подпись, автограф, знак, синус
境;さかい;граница, грань (перен.)
逆らう;さからう;идти против чего-то, противоречить, прекословить
盛り;さかり;расцвет, разгар
作業;さぎょう;работа, операции, рабочий (в сочетаниях) 
昨;さく;прошлый (напр. год), вчера
作品;さくひん;произведение, опус, творчество
作物;さくもつ;сельхоз. продукция, зерновые
桜;さくら;сакура, вишневое дерево
叫ぶ;さけぶ;кричать, вскрикивать, восклицать
避ける;さける;избегать, уклоняться, сторониться
支える;ささえる;подпирать, поддерживать (перен.), удерживать, сдерживать
指す;さす;указывать
座席;ざせき;сидячие места
誘う;さそう;приглашать, заходить за кем-либо, навлекать, завлекать
札;さつ;бумажные деньги, банкноты
作家;さっか;писатель, автор
作曲;さっきょく;музыкальная композиция, писать музыку
;ざっと;приблизительно, примерно, грубо, бегло
;さっぱり;чувство свежести, чувствовать себя хорошо, опрятный, совершенно, совсем
;さて;союз а теперь, итак
砂漠;さばく;пустыня
差別;さべつ;различие, дифференциация, дискриминация
作法;さほう;манеры, поведение, этикет
様々;さまざま;различные, всяческие, всевозможные
覚ます;さます;просыпаться, пробуждаться
覚める;さめる;просыпаться, пробуждаться, очнуться
左右;さゆう;лево и право, обе стороны, управлять, решать
更に;さらに;снова, еще раз, сверх того, нисколько (с отриц.)
去る;さる;уходить, покидать, проходить, удалять
猿;さる;обезьяна
騒ぎ;さわぎ;шум, переполох, сенсация
参加;さんか;участие, участвовать
参考;さんこう;справка, консультация, обращаться за справкой
賛成;さんせい;согласие, одобрение
酸素;さんそ;кислород
氏;し;суф. господин, он
詩;し;стихи, поэзия
幸せ;しあわせ;счастье, удача, везение
;ジーンズ;джинсы
ジェット機;ジェットき;реактивный самолет
直に;じかに;прямо, непосредственно, лично
;しかも;притом, при этом, кроме того
式;しき;церемония, ритуал, формальность, уравнение, формула
直;じき;прямо, непосредственно, рядом
時期;じき;время, период, сезон
支給;しきゅう;снабжение, ассигнование, субсидии, выплата
;しきりに;очень часто, непрерывно, постоянно, упорно
刺激;しげき;толчок, стимул, импульс, побуждение, стимуляция
資源;しげん;ресурсы, естественные богатства
事件;じけん;происшествие, событие, инцидент, случай
時刻;じこく;время, момент
自殺;じさつ;самоубийство
事実;じじつ;факт, реальность, действительность, на самом деле
支出;ししゅつ;расходы, издержки
事情;じじょう;обстоятельства, положение дел
詩人;しじん;поэт
自身;じしん;сам, само
沈む;しずむ;тонуть, погружаться, закатываться (о солнце), хандрить
自然;しぜん;природа, натуральный, самопроизвольный
思想;しそう;идея, мысль, концепция, понятие
舌;した;язык (орган)
次第;しだい;порядок, последовательность, причина, как только, сразу же после
事態;じたい;обстановка, положение дел, ситуация
従う;したがう;следовать, сопровождать, подчиняться
;したがって;следовательно, поэтому
親しい;したしい;дружеский, близкий, задушевный
質;しつ;качество, характер (человека)
失業;しつぎょう;безработица
実験;じっけん;эксперимент, опыт, испытание
実現;じつげん;осуществление, реализация, материализация
実行;じっこう;исполнение, реализация, осуществление
実際;じっさい;действительность, факт, практика
実施;じっし;осуществление, претворение в жизнь
;じっと;спокойно, тихо, не двигаясь, терпеливо
実に;じつに;на самом деле, действительно
実は;じつは;по правде говоря
失望;しつぼう;отчаяние, разочарование
支店;してん;отделение, филиал
指導;しどう;руководство, руководить
自動;じどう;автоматический, самодвижущийся
品;しな;вещь, товар, сорт, качество
支配;しはい;управление, руководство, доминирование
芝居;しばい;спектакль, пьеса, театральное представление
;しばしば;часто, снова и снова
芝生;しばふ;газон, лужайка
支払;しはらい;уплата, выплата, платеж
支払う;しはらう;платить, оплачивать
死亡;しぼう;смерть, кончина
資本;しほん;капитал
終わり;おわり;конец, окончание, финал
姉妹;しまい;сестры
仕舞う;しまう;заканчивать, убирать, прятать, закрывать (напр., магазин)
;しまった;черт возьми! тьфу! (разг.)
自慢;じまん;самодовольство, тщеславие, хвастовство
事務;じむ;дела, служба, офисная работа
示す;しめす;указывать на что-то, показывать, обозначать
占める;しめる;занимать (место, позицию, положение)
下;しも;низ, нижний, нижнее течение, народ, подчиненные, нижняя часть тела
霜;しも;иней, изморозь, мороз (обр.)
借金;しゃっきん;долг, заём
;しゃべる;говорить, болтать
州;しゅう;провинция (в Японии), штат, область
銃;じゅう;ружье, винтовка, стрелковое оружие
周囲;しゅうい;окружность, обхват, окружение, условия
収穫;しゅうかく;урожай, жатва, (обр.) плоды, результаты
週間;しゅうかん;неделя
宗教;しゅうきょう;религия
重視;じゅうし;серьезно смотреть, придавать большое значение
就職;しゅうしょく;трудоустройство, поступление на службу
修正;しゅうせい;поправка, исправление, ревизия
渋滞;じゅうたい;задержка, застой, транспортная пробка
重大;じゅうだい;серьезный, важный, ответственный
住宅;じゅうたく;квартира, жилой дом, жилище
集団;しゅうだん;группа, коллектив
集中;しゅうちゅう;концентрация, сосредоточение, централизация
