ID;JP;JP_KANA;RU;
126;;カーテン;занавеска;
127;~会;かい;общество…, собрание…, встреча…, вечеринка в честь…;
128;海岸;かいがん;берег моря;
129;会議;かいぎ;собрание, совещание, заседание, конференция;
130;会場;かいじょう;концертный зал, зал заседаний;
131;会話;かいわ;разговор, беседа, разговорная речь;
132;帰り;かえり;возвращение;
133;変える;かえる;менять, изменять;
134;科学;かがく;наука;
135;鏡;かがみ;зеркало;
136;~学部;がくぶ;факультет, кафедра;
137;掛ける;かける;вешать, садиться, доставлять (беспокойство);
138;飾る;かざる;украшать, приукрашивать, демонстрировать;
139;家事;かじ;домашние дела;
140;畏まりました;かしこまりました;слушаюсь!;
141;;ガソリン;бензин;
142;;ガソリンスタンド;автозаправка;
143;~方;かた;способ…, манера…;
144;形;かたち;форма, вид;
145;片付ける;かたづける;приводить в порядок, убирать;
146;勝つ;かつ;побеждать, выигрывать;
147;格好・恰好;かっこう;внешний вид, облик, фигура;
148;悲しい;かなしい;печальный, грустный;
149;必ず;かならず;обязательно, непременно;
150;(お)金持ち;(お)かねもち;богач;
151;彼女;かのじょ;она, любимая (разг.);
152;壁;かべ;стена;
153;構いません;かまいません;всё равно, можно, не возражаю;
154;髪;かみ;волосы;
155;咬む・噛む;かむ;кусать, жевать;
156;通う;かよう;ходить (туда и обратно), курсировать, посещать (школу);
157;;ガラス;стекло;
158;彼;かれ;он, любимый (разг.);
159;彼等;かれら;они;
160;乾く;かわく;сохнуть, высыхать;
161;代わり（に）;かわり（に）;замена, компенсация;
162;変わる;かわる;меняться, изменяться;
163;考える;かんがえる;думать, размышлять, представлять себе, учитывать;
164;関係;かんけい;отношения, связь, касательство;
165;看護婦;かんごふ;медсестра;
166;簡単;かんたん;простой, краткий;
167;頑張る;がんばる;держаться (до конца), не сдаваться, упорствовать;
168;気;き;запах, аромат, испарения, воздух;
169;機会;きかい;шанс, (благоприятный) случай;
170;機械;きかい;машина, механизм, установка, прибор;
171;危険;きけん;опасность;
172;聞こえる;きこえる;слышаться, звучать, казаться, производить впечатление;
173;汽車;きしゃ;поезд;
174;技術;ぎじゅつ;технология, мастерство, техника;
175;季節;きせつ;время года, сезон;
176;規則;きそく;правило, распорядок, устав;
177;屹度;きっと;несомненно, наиболее вероятно;
178;絹;きぬ;шелк;
179;厳しい;きびしい;строгий, требовательный, трудный;
180;気分;きぶん;самочувствие, состояние (здоровья), атмосфера (настроение);
181;決まる;きまる;быть решенным, определенным;
182;君;きみ;ты (обращение мужчин к женщинам);
183;決める;きめる;решать, определять, устанавливать, назначать;
184;気持ち;きもち;чувство (эмоция), чувства (чьи-л.), состояние (духа, здоровья), отношение (к чему-л.);
185;着物;きもの;кимоно;
186;客;きゃく;гость, посетитель, клиент;
187;急（に）;きゅう;спешный, срочный;
188;急行;きゅうこう;экспресс (транспорт);
189;教育;きょういく;воспитание, образование, обучение;
190;教会;きょうかい;церковь;
191;競争（する）;きょうそう（する）;соревнование, соперничество, конкуренция;
192;興味;きょうみ;интерес, склонность;
193;近所;きんじょ;близлежащая местность;
194;具合;ぐあい;состояние, условия, состояние здоровья, образ действий;
195;空気;くうき;воздух, атмосфера;
196;空港;くうこう;аэропорт;
197;草;くさ;трава;
198;下さる;くださる;давать, дарить (вежл. о действиях 2 и 3 лица);
199;首;くび;шея, голова;
200;雲;くも;облако;
201;比べる;くらべる;сравнивать, сопоставлять;
202;呉れる;くれる;давать, дарить (о действиях 2 или 3 лица в интересах 1 лица);
203;暮れる;くれる;темнеть, подходить к концу (о дне, времени года), предаваться (печали), быть погружённым (в думы);
204;~君;くん;суффикс имен и фамилий к равным или нижестоящему;
205;毛;け;волосы, шерсть;
206;計画（する）;けいかく（する）;план, программа;
#207;警官;けいかん;полицейский;
208;経験（する）;けいけん（する）;опыт (жизненный), практика;
209;経済;けいざい;экономика;
210;警察;けいさつ;полиция;
211;怪我（する）;けが（する）;рана, травма, ушиб, ранить, травмировать;
212;景色;けしき;вид, пейзаж;
213;下宿（する）;げしゅく（する）;съемное жилище, пансион;
214;決して;けっして;ни в коем случае, никогда;
215;;けれど・けれども;однако, хотя, несмотря на то, что…;
216;~軒;けん;сч. суф. для зданий;
217;原因;げんいん;причина, источник;
218;喧嘩（する）;けんか（する）;спор, ссора, драка;
219;研究（する）;けんきゅう（する）;изучение, исследование, научная работа;
220;研究室;けんきゅうしつ;лаборатория;
221;見物（する）;けんぶつ（する）;осмотр, экскурсия;
222;子;こ;ребенок;
224;こう;こう;так, таким образом;
225;郊外;こうがい;пригород;
226;講義;こうぎ;лекция;
227;工業;こうぎょう;промышленность, индустрия;
228;高校・高等学校;こうこう・こうとうがっこう;старшая школа;
229;高校生;こうこうせい;старшеклассник;
230;工場;こうじょう;завод, фабрика, мастерская;
231;校長;こうちょう;директор школы;
232;交通;こうつう;сообщение, связь, трафик, транспорт;
233;講堂;こうどう;лекционный зал;
234;公務員;こうむいん;госслужащий, чиновник;
235;国際;こくさい;международный;
236;心;こころ;сердце, душа;
237;~御座居ます;ございます;быть (вежл.);
238;故障（する）;こしょう（する）;повреждение, поломка, неисправность, авария;
239;御存知;ごぞんじ;знать (вежл. о 2-3 лице);
240;答え;こたえ;ответ, решение (задачи);
241;御馳走;ごちそう;угощение (вежл.);
242;;こっち;здесь, тут (разг.);
243;事;こと;дело, обстоятельства, факт, случай;
244;小鳥;ことり;птичка;
245;この間;このあいだ;недавно, в последнее время;
246;此の頃;このごろ;(в) последнее время;
247;細かい;こまかい;мелкий, маленький, тщательный;
248;塵・芥;ごみ;сор, мусор, пыль;
249;込む・混む;こむ;быть людным (переполненным);
250;米;こめ;рис;
251;御覧になる;ごらんになる;смотреть (вежл. о 2 и 3 лице);
242;此れから;これから;сейчас, теперь, отныне, впредь;
253;怖い;こわい;страшный, жуткий, ужасный;
254;壊す;こわす;ломать, разбивать, портить;
255;壊れる;こわれる;ломаться, разбиваться;
256;;コンサート;концерт;
257;今度;こんど;(на) этот раз, недавно, (в) следующий раз;
258;今夜;こんや;сегодня ночью;
259;最近;さいきん;(в) последнее время;
260;最後;さいご;конец, последний раз;
261;最初;さいしょ;в начале, сперва;
#262;財布;さいふ;кошелек, бумажник;
263;探す・捜す;さがす;искать, разыскивать;
264;下がる;さがる;опускаться, падать, понижаться, отступать (назад);
265;盛ん;さかん;широко распространенный, модный, развитой;
266;下げる;さげる;спускать, опускать, понижать, вешать, подвешивать, убирать;
267;差し上げる;さしあげる;поднимать, дарить, давать (скромно о себе);
268;;さっき;недавно, только что, ранее;
269;寂しい;さびしい;одинокий, грустный, унылый, безлюдный, пустынный;
270;~様;さま;суф вежливого обращения (господин, госпожа);
271;再来月;さらいげつ;через месяц;
272;再来週;さらいしゅう;через неделю;
273;騒ぐ;さわぐ;шуметь;
274;触る;さわる;(при)касаться, трогать;
275;;サンダル;сандалии;
276;;サンドイッチ;бутерброд;
277;残念;ざんねん;досадный, вызывающий сожаление;
278;字;じ;буква, иероглиф, знак;
279;試合;しあい;соревнование, матч, игра;
280;仕方;しかた;способ, метод;
281;叱る;しかる;бранить, ругать, упрекать;
282;~式;しき;стиль…, тип…, метод…, церемония, обряд;
283;試験;しけん;экзамен, испытание, проверка;
284;事故;じこ;происшествие, несчастный случай;
285;地震;じしん;землетрясение;
286;時代;じだい;время, времена, эпоха;
287;下着;したぎ;нижнее белье;
288;支度（する）;したく（する）;приготовление, подготовка, сборы (в дорогу);
289;確り;しっかり;твердо, крепко, надежно;
290;失敗（する）;しっぱい（する）;неудача, провал;
291;失礼（する）;しつれい（する）;невежливость, грубость, извините;
292;辞典;じてん;словарь;
293;品物;しなもの;товар;
294;暫く;しばらく;(на) некоторое время, немного, долго, длительное время;
295;島;しま;остров;
296;事務所;じむしょ;контора, офис;
297;社会;しゃかい;общество;
298;社長;しゃちょう;начальник, директор;
299;邪魔;じゃま;помеха, препятствие;
300;;ジャム;джем;
301;自由;じゆう;свобода;
302;習慣;しゅうかん;обычай, привычка;
303;住所;じゅうしょ;местожительство, адрес;
304;柔道;じゅうどう;дзюдо (национальное боевое искусство);
305;十分;じゅうぶん;достаточный;
306;出席（する）;しゅっせき（する）;присутствие, посещение;
307;出発（する）;しゅっぱつ（する）;отъезд, отправление, выход, вылет;
308;趣味;しゅみ;вкус к ч-л, интерес, склонность, хобби;
309;準備（する）;じゅんび（する）;подготовка, приготовление;
310;紹介（する）;しょうかい（する）;знакомство, представление, ознакомление;
311;正月;しょうがつ;Новый Год, январь;
312;小学校;しょうがっこう;начальная школа;
313;小説;しょうせつ;роман, повесть, рассказ, художественная литература;
314;招待（する）;しょうたい（する）;приглашение;
315;承知（する）;しょうち（する）;согласие, дозволение, осведомленность;
316;将来;しょうらい;будущее, грядущее;
317;食事（する）;しょくじ（する）;еда, есть;
318;食料(品);しょくりょう(ひん);продукты питания, продовольственные товары;
319;女性;じょせい;женский пол, женщина, женский род;
320;知らせる;しらせる;извещать, ставить в известность;
321;調べる;しらべる;расследовать, исследовать, проверять, смотреть в словаре;
322;人口;じんこう;население, численность населения;
323;神社;じんじゃ;синтоистское святилище;
324;親切;しんせつ;сердечный, добрый;
325;心配（する）;しんぱい（する）;беспокойство, тревога, опасения;
326;新聞社;しんぶんしゃ;газетное издательство;
327;水泳;すいえい;плавание;
328;水道;すいどう;водопровод;
329;随分;ずいぶん;очень, весьма, довольно-таки;
330;数学;すうがく;математика;
331;;スーツケース;чемодан, дорожная сумка;
332;過ぎる;すぎる;проходить мимо, проходить (о времени), истекать, превышать;
333;~過ぎる;すぎる;чрезмерно, чересчур, слишком;
334;空く;すく;быть пустым, свободным, проголодаться;
335;少ない;すくない;мало, немного, малочисленный;
336;直ぐに;すぐに;сразу, немедленно, скоро;
337;;スクリーン;экран;
338;凄い;すごい;страшный, ужасный, поразительный, удивительный, круто!;
339;;すっかり;совсем, совершенно, полностью;
340;;ずっと;гораздо, больше, дальше, все время, постоянно;
341;捨てる;すてる;бросать, выбрасывать, забрасывать;
342;;ステレオ;стерео;
343;砂;すな;песок, песчинка;
344;素晴らしい;すばらしい;замечательный, великолепный, изумительный;
345;滑る;すべる;скользить, быть скользким, кататься на коньках;
346;隅・角;すみ;угол (внутренний);
347;済む;すむ;оканчиваться, обходиться, улаживаться;
348;掏摸;すり;карманник, воришка, мелкое воровство;
349;;すると;ну, значит, и вот…;
350;~製;せい;сделано в…;
351;生活（する）;せいかつ（する）;жизнь, существование, условия жизни, быт;
352;政治;せいじ;политика;
353;西洋;せいよう;Запад;
354;世界;せかい;мир, свет;
355;席;せき;место;
356;説明;せつめい;объяснение;
357;背中;せなか;спина;
358;是非;ぜひ;непременно, обязательно, во что бы то ни стало;
359;世話（する）;せわ（する）;услуга, помощь, забота, посредничество, рекомендация;
360;線;せん;линия;
361;全然;ぜんぜん;совсем, совершенно, нисколько (с отриц.);
362;戦争（する）;せんそう（する）;война;
363;先輩;せんぱい;старший товарищ (в школе, на работе);
364;専門;せんもん;специальность;
365;;そう;так, таким образом;
366;相談（する）;そうだん（する）;беседа, совещание, совет, консультация;
367;育てる;そだてる;растить, воспитывать;
368;卒業（する）;そつぎょう（する）;окончание учебного заведения;
369;祖父;そふ;дедушка;
370;祖母;そぼ;бабушка;
371;其れで;それで;поэтому, из-за этого;
372;其れに;それに;к тому же…;
373;;それはいけませんね;так нельзя, так не пойдет, нехорошо;
374;其れ程;それほど;в такой степени;
375;徐々;そろそろ;потихоньку, скоро;
376;;そんな;такой;
377;;そんなに;так;
378;~代;だい;суф платы за ч-л;
379;退院（する）;たいいん（する）;выписываться из больницы;
380;大学生;だいがくせい;студент;
381;大事;だいじ;важный;
382;大体;だいたい;в общем, в основном, в целом;
383;;タイプ;тип;
384;大分・だいぶん;だいぶ;(довольно) много, очень, весьма, значительно;
385;台風;たいふう;тайфун;
386;倒れる;たおれる;падать, опрокидываться;
387;;だから;поэтому;
388;確か;たしか;достоверный, несомненный, наверняка, точно;
389;足す;たす;прибавлять, добавлять;
390;~出す;だす;неожиданно начинать делать ч-л;
391;訪ねる;たずねる;посещать, навещать;
392;尋ねる;たずねる;спрашивать, разыскивать;
393;只今;ただいま;сейчас, только что, я дома! Я вернулся!;
394;正しい;ただしい;правильный, честный;
395;畳;たたみ;циновка татами;
396;立てる;たてる;ставить, составлять;
397;建てる;たてる;строить;
398;例えば;たとえば;например;
399;棚;たな;полка;
400;楽しみ;たのしみ;удовольствие;
401;偶に;たまに;изредка, редко;
402;為;ため;для, из-за;
403;駄目;だめ;непригодный, неудачный, напрасный, нельзя;
404;足りる;たりる;хватать, быть достаточным;
405;男性;だんせい;мужской пол;
406;暖房;だんぼう;отопление;
407;血;ち;кровь;
408;小さな;ちいさな;маленький;
409;力;ちから;сила, энергия;
410;;ちっとも;нисколько, ничуть (с отриц.);
411;~ちゃん;ちゃん;ласковый суффикс к именам;
412;注意（する）;ちゅうい（する）;внимание, осторожность;
413;中学校;ちゅうがっこう;средняя школа;
414;注射（する）;ちゅうしゃ（する）;укол, инъекция;
415;駐車場;ちゅうしゃじょう;стоянка, парковка;
416;地理;ちり;география;
417;捕まえる;つかまえる;схватить, арестовать, задержать;
418;月;つき;луна, месяц;
420;点く;つく;зажигаться, загораться;
421;付ける;つける;прикреплять, накладывать, посыпать, поливать, следить за к-л;
422;漬ける;つける;солить, мариновать;
423;都合;つごう;обстоятельство, условия, причина, удобство;
424;伝える;つたえる;передавать (информацию);
425;続く;つづく;продолжаться, следовать;
426;続ける;つづける;продолжать;
427;包む;つつむ;обертывать, заворачивать, покрывать;
428;妻;つま;жена;
429;爪;つめ;ногти, когти, копыто, клешня;
430;積もり;つもり;намерение, цель, расчет;
431;積もる;つもる;накапливаться, лежать (о снеге), рассчитывать, прикидывать;
432;釣る;つる;ловить рыбу, заманивать;
433;連れる;つれる;брать с собой;
434;丁寧;ていねい;вежливый;
435;;テキスト;текст;
436;適当;てきとう;подходящий, уместный;
437;出来る;できる;быть возможным, мочь, быть сделанным, появляться;
438;出来るだけ;できるだけ;насколько возможно, по мере возможности;
439;手伝う;てつだう;помогать в ч-л;
440;;テニスコート;теннисный корт;
441;手袋;てぶくろ;перчатки;
442;手前;てまえ;эта сторона, перед…, Я (скромно), ты (грубо);
443;手元;てもと;под рукой, вблизи, при себе;
444;寺;てら;буддийский храм;
445;点;てん;точка, балл, пятно, дефект, пункт;
446;店員;てんいん;продавец;
447;天気予報;てんきよほう;прогноз погоды;
448;電灯;でんとう;электрический свет (лампы);
449;電報;でんぽう;телеграмма;
450;展覧会;てんらんかい;выставка;
451;道具;どうぐ;инструменты, принадлежности;
452;;とうとう;и так далее, и тому подобное, и другие;
453;動物園;どうぶつえん;зоопарк;
454;遠く;とおく;далеко;
455;通り;とおり;улица, дорога, проезд;
#456;通り 「次の~」;とおり;в соответствии с…;
457;通る;とおる;проходить, проезжать, пронизывать;
458;~時;とき;когда…;
459;特に;とくに;особенно, в особенности, в частности;
460;特別;とくべつ;особенный, специальный, исключительный;
461;床屋;とこや;парикмахер, парикмахерская;
462;年;とし;год, возраст;
463;途中;とちゅう;по пути, по дороге;
464;特急;とっきゅう;экспресс (поезд);
465;何方;どっち;где, который, кто (разг.);
466;届ける;とどける;доставлять, заявлять, уведомлять;
467;泊まる;とまる;оставаться на ночь;
468;止める;とめる;останавливать;
469;取り替える;とりかえる;менять, заменять, обменивать;
470;泥棒;どろぼう;вор, воровство;
471;直す;なおす;лечить, чинить, исправлять;
472;直る;なおる;поправляться, исправляться, выздоравливать;
473;治る;なおる;поправляться, исправляться, выздоравливать;
474;中々;なかなか;весьма, очень, с отриц никак;
#475;乍ら「~しながら」;ながら;деепричастие одновременности (делая…);
476;泣く;なく;плакать;
477;無くす;なくす;лишаться, терять;
478;無くなる;なくなる;кончаться, быть потерянным;
479;亡くなる;なくなる;умирать, скончаться;
480;投げる;なげる;бросать, кидать, швырять;
481;為さる;なさる;делать;
482;何故;なぜ;почему?;
483;鳴る;なる;звучать, быть широко известным;
484;成るべく・成る可く;なるべく;по возможности, насколько возможно;
485;成程・成る程;なるほど;в самом деле, действительно, и впрямь;
486;慣れる;なれる;привыкать, приучаться;
487;匂い;におい;запах, аромат;
488;苦い;にがい;горький;
489;~難い;にくい;трудно…;
490;逃げる;にげる;убежать, бежать, избегать;
491;日記;にっき;дневник;
492;入院（する）;にゅういん（する）;госпитализация;
493;入学（する）;にゅうがく（する）;поступление в школу или университет;
494;似る;にる;быть похожим;
495;人形;にんぎょう;кукла;
496;盗む;ぬすむ;воровать;
497;塗る;ぬる;красить, мазать, штукатурить;
498;濡れる;ぬれる;промокать, намокать;
499;値段;ねだん;цена, стоимость;
500;熱;ねつ;жар, пыл, температура, горячность, страсть;
501;熱心;ねっしん;пыл, рвение, энтузиазм;
502;眠い;ねむい;сонный;
#503;眠たい;ねむたい;сонный;
504;眠る;ねむる;спать;
505;残る;のこる;оставаться, сохраняться;
506;喉;のど;горло;
507;乗り換える;のりかえる;пересаживаться;
508;乗り物;のりもの;транспортное средство;
509;葉;は;лист, листва;
510;場合;ばあい;случай, обстоятельства;
511;~倍;ばい;удвоенный, с числом в …раз;
512;拝見（する）;はいけん（する）;смотреть, видеть (скромно о себе);
513;歯医者;はいしゃ;стоматолог, зубной врач;
514;;ばかり;(суф. числ.) примерно, около;
515;運ぶ;はこぶ;перевозить, продвигаться вперед;
516;始める;はじめる;начинать;
517;筈;はず;должен, должно быть;
518;恥ずかしい;はずかしい;стыдно;
519;発音;はつおん;произношение;
520;;はっきり;ясно, отчетливо;
521;花見;はなみ;любование цветами;
522;払う;はらう;платить;
523;番組;ばんぐみ;телепередача;
524;反対;はんたい;протест, контраст, противоположность;
525;火;ひ;огонь;
526;日;ひ;солнце, день;
527;冷える;ひえる;остывать, зябнуть, мерзнуть;
528;引き出し;ひきだし;выдвижной ящик;
529;髭;ひげ;усы, борода;
530;飛行場;ひこうじょう;аэродром;
531;久し振り;ひさしぶり;спустя долгое время;
532;美術館;びじゅつかん;музей изобразительных искусств;
533;非常に;ひじょうに;чрезвычайно, необыкновенно;
534;吃驚する;びっくりする;изумляться, быть испуганным;
535;引っ越す;ひっこす;переезжать;
536;必要;ひつよう;необходимость;
537;酷い;ひどい;жестокий, несправедливый, ужасный;
538;開く;ひらく;открывать, учреждать, основывать, осваивать;
539;;ビル;здание;
540;昼間;ひるま;дневное время, днём;
541;昼休み;ひるやすみ;перерыв на обед;
542;拾う;ひろう;находить, подбирать;
543;増える;ふえる;увеличиваться, прибавляться, расти;
544;深い;ふかい;глубокий;
545;複雑;ふくざつ;сложный, запутанный;
546;復習;ふくしゅう;повторение;
547;普通;ふつう;обычный, простой, обычно, как правило;
548;葡萄;ぶどう;виноград;
549;太る;ふとる;толстеть;
550;布団;ふとん;футон;
551;舟・船;ふね;корабль, лодка;
552;不便;ふベん;неудобный;
553;踏む;ふむ;наступать ногой, топтать;
554;;プレゼント;подарок;
555;文化;ぶんか;культура;
556;文学;ぶんがく;литература;
557;文法;ぶんぽう;грамматика;
558;別に;べつに;особенно, отдельно, кроме;
559;;ベル;звонок;
560;変;へん;странный, неприличный;
561;返事（する）;へんじ;ответ;
562;貿易;ぼうえき;внешняя торговля;
563;放送;ほうそう;вещание, передача;
564;法律;ほうりつ;юридический закон, законный;
565;僕;ぼく;я;
566;星;ほし;звезда;
567;程;ほど;мера, степень, настолько…;
568;殆ど;ほとんど;почти;
569;褒める;ほめる;хвалить, одобрять;
570;翻訳;ほんやく;письменный перевод;
571;参る;まいる;идти, сдаваться, посещать (храм);
572;負ける;まける;проигрывать, поддаваться, уступать;
573;真面目;まじめ;серьезный;
574;先ず;まず;прежде всего, в целом;
575;又は;または;или же, либо;
576;間違える;まちがえる;ошибаться, перепутать;
577;間に合う;まにあう;успеть, годиться;
578;;~まま;так, как есть;
579;回り・周り;まわり;окрестности, окружность, вращение;
580;回る・周る;まわる;вертеться, вращаться, объезжать;
581;漫画;まんが;комикс, карикатура;
582;真ん中;まんなか;центр, середина;
583;見える;みえる;виднеться, выглядеть;
584;湖;みずうみ;озеро;
585;味噌(汁);みそ(しる);мисо (паста из соевых бобов);
586;見付かる;みつかる;быть замеченным, найденным, попасться;
587;見付ける;みつける;обнаруживать;
588;緑;みどり;зелень, растительность;
589;皆;みな;все, всё;
590;港;みなと;порт, гавань;
591;迎える;むかえる;встречать, выходить навстречу;
592;昔;むかし;старина, прошлое;
593;虫;むし;насекомое;
594;息子;むすこ;сын;
595;娘;むすめ;дочь, девушка;
596;村;むら;деревня;
597;無理;むり;невозможно, нельзя, необоснованность;
598;~目;め;сч. суф. порядковых числительных;
599;召し上がる;めしあがる;кушать, пить (вежл. о 2-3 лице);
600;珍しい;めずらしい;редкий, необычный, оригинальный;
601;申し上げる;もうしあげる;говорить (скромно о себе);
602;申す;もうす;говорить, называться;
603;もう直ぐ;もうすぐ;вот-вот, скоро;
604;もう一つ;もうひとつ;еще один;
605;若し;もし;если;
606;戻る;もどる;возвращаться;
607;木綿;もめん;хлопчатобумажная ткань;
608;貰う;もらう;получать, брать;
609;焼く;やく;жечь, сжигать, обжигать, ревновать;
610;約束（する）;やくそく;обещание, договоренность;
611;役に立つ;やくにたつ;полезный, пригодиться;
612;焼ける;やける;гореть, сгорать, выгорать (о цвете), ревновать;
613;優しい;やさしい;добрый, ласковый, нежный;
614;~易い;やすい;легко…;
615;痩せる;やせる;худеть, истощаться;
616;;やっと;наконец-то;
617;矢張り・矢っ張り;やはり・やっぱり;всё-таки, всё же, всё равно, также, тоже;
618;止む;やむ;кончаться, переставать;
619;止める;やめる;прекращать, переставать, оставлять (службу);
620;遣る;やる;давать;
621;軟らかい;やわらかい;мягкий, нежный;
622;湯;ゆ;горячая вода, горячий источник, ванна, баня;
623;夕飯;ゆうはん;ужин;
624;輸出;ゆしゅつ;экспорт, вывоз;
625;指;ゆび;палец;
626;指輪;ゆびわ;кольцо, перстень;
627;夢;ゆめ;сон, мечта;
628;揺れる;ゆれる;качаться, колебаться;
629;用;よう;дело, необходимость, применение;
630;用意（する）;ようい（する）;готовность, подготовка, приготовление;
631;用事;ようじ;дело, дела;
#632;よく, いらっしゃいました;よく, いらっしゃいました;добро пожаловать;
